372	1554	19	35.26	37.023	2011-07-30 00:00:00	1	5		CS 	2011-07-30 00:00:00
373	1496	17	39.48	41.454	2011-08-18 00:00:00	1	5	3	CS 	2011-08-18 00:00:00
373	1554	19	39.33	41.2965	2011-07-30 00:00:00	1	5		CS 	2011-07-30 00:00:00
374	1496	17	35.41	37.1805	2011-08-24 00:00:00	1	5	3	CS 	2011-08-24 00:00:00
374	1554	19	35.26	37.023	2011-08-05 00:00:00	1	5		CS 	2011-08-05 00:00:00
375	1536	15	41.28	43.344	2011-08-13 00:00:00	1	5	3	CTN	2011-08-13 00:00:00
375	1562	16	41.21	43.2705	2011-08-10 00:00:00	1	5		CTN	2011-08-10 00:00:00
375	1656	16	41.21	43.2705	2011-07-29 00:00:00	1	5		CTN	2011-07-29 00:00:00
376	1536	15	37.21	39.0705	2011-08-13 00:00:00	1	5		CTN	2011-08-13 00:00:00
376	1562	16	39.21	41.1705	2011-08-10 00:00:00	1	5		CTN	2011-08-10 00:00:00
376	1656	16	45.28	47.544	2011-07-29 00:00:00	1	5		CTN	2011-07-29 00:00:00
377	1536	15	35.21	36.9705	2011-08-20 00:00:00	1	5	3	CTN	2011-08-20 00:00:00
377	1562	16	43.28	45.444	2011-08-17 00:00:00	1	5		CTN	2011-08-17 00:00:00
377	1656	16	41.21	43.2705	2011-08-04 00:00:00	1	5		CTN	2011-08-04 00:00:00
378	1536	15	39.28	41.244	2011-08-20 00:00:00	1	5	3	CTN	2011-08-20 00:00:00
378	1562	16	39.21	41.1705	2011-08-17 00:00:00	1	5		CTN	2011-08-17 00:00:00
378	1656	16	39.21	41.1705	2011-08-04 00:00:00	1	5		CTN	2011-08-04 00:00:00
379	1536	15	35.21	36.9705	2011-08-20 00:00:00	1	5		CTN	2011-08-20 00:00:00
379	1562	16	37.21	39.0705	2011-08-17 00:00:00	1	5		CTN	2011-08-17 00:00:00
379	1656	16	43.28	45.444	2011-08-04 00:00:00	1	5		CTN	2011-08-04 00:00:00
380	1536	15	41.16	43.218	2011-08-26 00:00:00	1	5	3	CTN	2011-08-26 00:00:00
380	1562	16	41.28	43.344	2011-08-22 00:00:00	1	5		CTN	2011-08-22 00:00:00
380	1656	16	39.21	41.1705	2011-08-10 00:00:00	1	5		CTN	2011-08-10 00:00:00
381	1536	15	45.23	47.4915	2011-08-26 00:00:00	1	5	3	CTN	2011-08-26 00:00:00
381	1562	16	37.21	39.0705	2011-08-22 00:00:00	1	5		CTN	2011-08-22 00:00:00
381	1656	16	37.21	39.0705	2011-08-10 00:00:00	1	5		CTN	2011-08-10 00:00:00
382	1536	15	41.21	43.2705	2011-08-01 00:00:00	1	5	3	CTN	2011-08-01 00:00:00
382	1562	16	35.21	36.9705	2011-08-28 00:00:00	1	5		CTN	2011-08-28 00:00:00
383	1536	15	45.28	47.544	2011-08-01 00:00:00	1	5		CTN	2011-08-01 00:00:00
383	1562	16	39.28	41.244	2011-08-28 00:00:00	1	5		CTN	2011-08-28 00:00:00
384	1536	15	41.21	43.2705	2011-08-01 00:00:00	1	5	3	CTN	2011-08-01 00:00:00
384	1562	16	35.21	36.9705	2011-08-28 00:00:00	1	5		CTN	2011-08-28 00:00:00
385	1536	15	39.21	41.1705	2011-08-07 00:00:00	1	5		CTN	2011-08-07 00:00:00
385	1562	16	41.16	43.218	2011-08-28 00:00:00	1	5		CTN	2011-08-28 00:00:00
386	1536	15	43.28	45.444	2011-08-07 00:00:00	1	5	3	CTN	2011-08-07 00:00:00
386	1562	16	45.23	47.4915	2011-08-04 00:00:00	1	5		CTN	2011-08-04 00:00:00
387	1536	15	39.21	41.1705	2011-08-07 00:00:00	1	5	3	CTN	2011-08-07 00:00:00
387	1562	16	41.21	43.2705	2011-08-04 00:00:00	1	5		CTN	2011-08-04 00:00:00
388	1536	15	37.21	39.0705	2011-08-07 00:00:00	1	5	3	CTN	2011-08-07 00:00:00
388	1562	16	45.28	47.544	2011-08-04 00:00:00	1	5		CTN	2011-08-04 00:00:00
389	1536	15	41.28	43.344	2011-08-07 00:00:00	1	5		CTN	2011-08-07 00:00:00
389	1562	16	41.21	43.2705	2011-08-04 00:00:00	1	5		CTN	2011-08-04 00:00:00
390	1536	15	37.21	39.0705	2011-08-07 00:00:00	1	5	3	CTN	2011-08-07 00:00:00
390	1562	16	39.21	41.1705	2011-08-04 00:00:00	1	5		CTN	2011-08-04 00:00:00
391	1536	15	35.21	36.9705	2011-08-07 00:00:00	1	5	3	CTN	2011-08-07 00:00:00
391	1562	16	43.28	45.444	2011-08-04 00:00:00	1	5		CTN	2011-08-04 00:00:00
392	1536	15	39.28	41.244	2011-08-07 00:00:00	1	5	3	CTN	2011-08-07 00:00:00
392	1562	16	39.21	41.1705	2011-08-04 00:00:00	1	5		CTN	2011-08-04 00:00:00
393	1536	15	35.21	36.9705	2011-08-07 00:00:00	1	5		CTN	2011-08-07 00:00:00
393	1562	16	37.21	39.0705	2011-08-04 00:00:00	1	5		CTN	2011-08-04 00:00:00
394	1536	15	41.16	43.218	2011-08-07 00:00:00	1	5	3	CTN	2011-08-07 00:00:00
394	1562	16	41.28	43.344	2011-08-04 00:00:00	1	5		CTN	2011-08-04 00:00:00
395	1536	15	45.23	47.4915	2011-08-07 00:00:00	1	5	3	CTN	2011-08-07 00:00:00
395	1562	16	37.21	39.0705	2011-08-04 00:00:00	1	5		CTN	2011-08-04 00:00:00
396	1536	15	41.21	43.2705	2011-08-07 00:00:00	1	5		CTN	2011-08-07 00:00:00
396	1562	16	35.21	36.9705	2011-08-04 00:00:00	1	5		CTN	2011-08-04 00:00:00
397	1536	15	45.28	47.544	2011-08-07 00:00:00	1	5		CTN	2011-08-07 00:00:00
397	1562	16	39.28	41.244	2011-08-04 00:00:00	1	5		CTN	2011-08-04 00:00:00
402	1648	15	45.21	47.4705	2011-08-26 00:00:00	1	5	3	CTN	2011-08-26 00:00:00
403	1616	17	45.21	47.4705	2011-08-06 00:00:00	1	5	3	CAN	2011-08-06 00:00:00
403	1672	15	43.21	45.3705	2011-08-20 00:00:00	1	5	3	CAN	2011-08-20 00:00:00
403	1686	19	43.28	45.444	2011-08-28 00:00:00	1	5		CAN	2011-08-28 00:00:00
404	1616	17	43.21	45.3705	2011-08-06 00:00:00	1	5	3	CAN	2011-08-06 00:00:00
404	1672	15	47.28	49.644	2011-08-20 00:00:00	1	5	3	CAN	2011-08-20 00:00:00
404	1686	19	39.21	41.1705	2011-08-28 00:00:00	1	5		CAN	2011-08-28 00:00:00
405	1616	17	47.28	49.644	2011-08-12 00:00:00	1	5	3	CAN	2011-08-12 00:00:00
405	1672	15	43.21	45.3705	2011-08-20 00:00:00	1	5	3	CAN	2011-08-20 00:00:00
405	1686	19	37.21	39.0705	2011-08-04 00:00:00	1	5		CAN	2011-08-04 00:00:00
406	1616	17	43.21	45.3705	2011-08-12 00:00:00	1	5	3	CAN	2011-08-12 00:00:00
406	1672	15	41.21	43.2705	2011-08-20 00:00:00	1	5	3	CAN	2011-08-20 00:00:00
406	1686	19	41.28	43.344	2011-08-04 00:00:00	1	5		CAN	2011-08-04 00:00:00
407	1616	17	41.21	43.2705	2011-08-12 00:00:00	1	5		CAN	2011-08-12 00:00:00
407	1672	15	45.28	47.544	2011-08-20 00:00:00	1	5		CAN	2011-08-20 00:00:00
407	1686	19	37.21	39.0705	2011-08-04 00:00:00	1	5		CAN	2011-08-04 00:00:00
408	1616	17	45.28	47.544	2011-08-19 00:00:00	1	5	3	CAN	2011-08-19 00:00:00
408	1672	15	41.21	43.2705	2011-08-20 00:00:00	1	5	3	CAN	2011-08-20 00:00:00
408	1686	19	35.21	36.9705	2011-08-10 00:00:00	1	5		CAN	2011-08-10 00:00:00
409	1616	17	41.21	43.2705	2011-08-19 00:00:00	1	5	3	CAN	2011-08-19 00:00:00
409	1672	15	39.21	41.1705	2011-08-26 00:00:00	1	5	3	CAN	2011-08-26 00:00:00
409	1686	19	39.28	41.244	2011-08-10 00:00:00	1	5		CAN	2011-08-10 00:00:00
410	1616	17	39.21	41.1705	2011-08-25 00:00:00	1	5	3	CAN	2011-08-25 00:00:00
410	1686	19	35.21	36.9705	2011-08-10 00:00:00	1	5		CAN	2011-08-10 00:00:00
411	1616	17	43.28	45.444	2011-08-25 00:00:00	1	5		CAN	2011-08-25 00:00:00
411	1686	19	33.21	34.8705	2011-08-10 00:00:00	1	5		CAN	2011-08-10 00:00:00
412	1616	17	39.21	41.1705	2011-08-25 00:00:00	1	5	3	CAN	2011-08-25 00:00:00
412	1686	19	37.28	39.144	2011-08-10 00:00:00	1	5		CAN	2011-08-10 00:00:00
413	1616	17	37.21	39.0705	2011-08-25 00:00:00	1	5		CAN	2011-08-25 00:00:00
413	1686	19	45.31	47.5755	2011-08-10 00:00:00	1	5		CAN	2011-08-10 00:00:00
414	1616	17	41.28	43.344	2011-07-24 00:00:00	1	5	3	CAN	2011-07-24 00:00:00
414	1686	19	43.31	45.4755	2011-08-17 00:00:00	1	5		CAN	2011-08-17 00:00:00
415	1616	17	37.21	39.0705	2011-07-24 00:00:00	1	5	3	CAN	2011-07-24 00:00:00
415	1686	19	47.38	49.749	2011-08-17 00:00:00	1	5		CAN	2011-08-17 00:00:00
416	1616	17	35.21	36.9705	2011-07-24 00:00:00	1	5	3	CAN	2011-07-24 00:00:00
416	1686	19	43.31	45.4755	2011-08-17 00:00:00	1	5		CAN	2011-08-17 00:00:00
417	1616	17	39.28	41.244	2011-07-24 00:00:00	1	5		CAN	2011-07-24 00:00:00
417	1686	19	41.31	43.3755	2011-08-17 00:00:00	1	5		CAN	2011-08-17 00:00:00
418	1616	17	35.21	36.9705	2011-07-31 00:00:00	1	5	3	CAN	2011-07-31 00:00:00
418	1686	19	45.38	47.649	2011-08-22 00:00:00	1	5		CAN	2011-08-22 00:00:00
419	1616	17	33.21	34.8705	2011-07-31 00:00:00	1	5	3	CAN	2011-07-31 00:00:00
419	1686	19	41.31	43.3755	2011-08-22 00:00:00	1	5		CAN	2011-08-22 00:00:00
420	1616	17	37.28	39.144	2011-07-31 00:00:00	1	5	3	CAN	2011-07-31 00:00:00
420	1686	19	39.31	41.2755	2011-08-22 00:00:00	1	5		CAN	2011-08-22 00:00:00
421	1616	17	45.31	47.5755	2011-07-31 00:00:00	1	5	3	CAN	2011-07-31 00:00:00
421	1686	19	43.38	45.549	2011-08-22 00:00:00	1	5		CAN	2011-08-22 00:00:00
422	1492	17	45.26	47.523	2011-08-12 00:00:00	1	5		CTN	2011-08-12 00:00:00
422	1534	19	45.41	47.6805	2011-08-17 00:00:00	1	5		CTN	2011-08-17 00:00:00
422	1666	16	45.41	47.6805	2011-08-21 00:00:00	1	5		CTN	2011-08-21 00:00:00
423	1492	17	43.26	45.423	2011-08-12 00:00:00	1	5		CTN	2011-08-12 00:00:00
423	1534	19	43.41	45.5805	2011-08-17 00:00:00	1	5		CTN	2011-08-17 00:00:00
423	1666	16	43.41	45.5805	2011-08-21 00:00:00	1	5		CTN	2011-08-21 00:00:00
424	1492	17	47.33	49.6965	2011-08-19 00:00:00	1	5		CTN	2011-08-19 00:00:00
424	1534	19	47.48	49.854	2011-08-17 00:00:00	1	5		CTN	2011-08-17 00:00:00
424	1666	16	47.48	49.854	2011-08-27 00:00:00	1	5		CTN	2011-08-27 00:00:00
425	1492	17	43.26	45.423	2011-08-19 00:00:00	1	5		CTN	2011-08-19 00:00:00
425	1534	19	43.41	45.5805	2011-08-17 00:00:00	1	5		CTN	2011-08-17 00:00:00
425	1666	16	43.41	45.5805	2011-08-27 00:00:00	1	5		CTN	2011-08-27 00:00:00
426	1492	17	41.26	43.323	2011-08-19 00:00:00	1	5		CTN	2011-08-19 00:00:00
426	1534	19	41.41	43.4805	2011-08-17 00:00:00	1	5		CTN	2011-08-17 00:00:00
426	1666	16	41.41	43.4805	2011-08-27 00:00:00	1	5		CTN	2011-08-27 00:00:00
427	1492	17	45.33	47.5965	2011-08-25 00:00:00	1	5		CTN	2011-08-25 00:00:00
427	1534	19	45.48	47.754	2011-08-22 00:00:00	1	5		CTN	2011-08-22 00:00:00
427	1666	16	45.48	47.754	2011-08-03 00:00:00	1	5		CTN	2011-08-03 00:00:00
428	1492	17	41.26	43.323	2011-08-25 00:00:00	1	5		CTN	2011-08-25 00:00:00
428	1534	19	41.41	43.4805	2011-08-22 00:00:00	1	5		CTN	2011-08-22 00:00:00
428	1666	16	41.41	43.4805	2011-08-03 00:00:00	1	5		CTN	2011-08-03 00:00:00
429	1492	17	39.26	41.223	2011-07-24 00:00:00	1	5		CTN	2011-07-24 00:00:00
429	1534	19	39.41	41.3805	2011-08-22 00:00:00	1	5		CTN	2011-08-22 00:00:00
429	1666	16	39.41	41.3805	2011-08-03 00:00:00	1	5		CTN	2011-08-03 00:00:00
430	1492	17	43.33	45.4965	2011-07-24 00:00:00	1	5		CTN	2011-07-24 00:00:00
430	1534	19	43.48	45.654	2011-08-22 00:00:00	1	5		CTN	2011-08-22 00:00:00
430	1666	16	43.48	45.654	2011-08-03 00:00:00	1	5		CTN	2011-08-03 00:00:00
431	1492	17	39.26	41.223	2011-07-24 00:00:00	1	5		CTN	2011-07-24 00:00:00
431	1534	19	39.41	41.3805	2011-08-22 00:00:00	1	5		CTN	2011-08-22 00:00:00
431	1666	16	39.41	41.3805	2011-08-03 00:00:00	1	5		CTN	2011-08-03 00:00:00
432	1492	17	37.26	39.123	2011-07-24 00:00:00	1	5		CTN	2011-07-24 00:00:00
432	1534	19	37.41	39.2805	2011-08-22 00:00:00	1	5		CTN	2011-08-22 00:00:00
432	1666	16	37.41	39.2805	2011-08-03 00:00:00	1	5		CTN	2011-08-03 00:00:00
433	1492	17	41.33	43.3965	2011-07-31 00:00:00	1	5		CTN	2011-07-31 00:00:00
433	1534	19	41.48	43.554	2011-08-28 00:00:00	1	5		CTN	2011-08-28 00:00:00
433	1666	16	41.48	43.554	2011-08-10 00:00:00	1	5		CTN	2011-08-10 00:00:00
434	1492	17	37.26	39.123	2011-07-31 00:00:00	1	5		CTN	2011-07-31 00:00:00
434	1534	19	37.41	39.2805	2011-08-28 00:00:00	1	5		CTN	2011-08-28 00:00:00
434	1666	16	37.41	39.2805	2011-08-10 00:00:00	1	5		CTN	2011-08-10 00:00:00
435	1492	17	35.26	37.023	2011-07-31 00:00:00	1	5		CTN	2011-07-31 00:00:00
435	1534	19	35.41	37.1805	2011-08-28 00:00:00	1	5		CTN	2011-08-28 00:00:00
435	1666	16	35.41	37.1805	2011-08-10 00:00:00	1	5		CTN	2011-08-10 00:00:00
436	1492	17	39.33	41.2965	2011-07-31 00:00:00	1	5		CTN	2011-07-31 00:00:00
436	1534	19	39.48	41.454	2011-08-28 00:00:00	1	5		CTN	2011-08-28 00:00:00
436	1666	16	39.48	41.454	2011-08-10 00:00:00	1	5		CTN	2011-08-10 00:00:00
437	1492	17	35.26	37.023	2011-08-06 00:00:00	1	5		CTN	2011-08-06 00:00:00
437	1534	19	35.41	37.1805	2011-08-10 00:00:00	1	5		CTN	2011-08-10 00:00:00
437	1666	16	35.41	37.1805	2011-08-17 00:00:00	1	5		CTN	2011-08-17 00:00:00
438	1540	17	39.26	41.223	2011-08-25 00:00:00	1	5		CTN	2011-08-25 00:00:00
438	1656	16	45.41	47.6805	2011-08-17 00:00:00	1	5		CTN	2011-08-17 00:00:00
439	1540	17	43.33	45.4965	2011-08-25 00:00:00	1	5		CTN	2011-08-25 00:00:00
439	1656	16	43.41	45.5805	2011-08-17 00:00:00	1	5		CTN	2011-08-17 00:00:00
440	1540	17	39.26	41.223	2011-08-06 00:00:00	1	5		CTN	2011-08-06 00:00:00
440	1656	16	47.48	49.854	2011-08-17 00:00:00	1	5		CTN	2011-08-17 00:00:00
441	1540	17	37.26	39.123	2011-08-06 00:00:00	1	5		CTN	2011-08-06 00:00:00
441	1656	16	43.41	45.5805	2011-08-17 00:00:00	1	5		CTN	2011-08-17 00:00:00
442	1540	17	41.33	43.3965	2011-08-06 00:00:00	1	5		CTN	2011-08-06 00:00:00
442	1656	16	41.41	43.4805	2011-08-22 00:00:00	1	5		CTN	2011-08-22 00:00:00
443	1540	17	37.26	39.123	2011-08-06 00:00:00	1	5		CTN	2011-08-06 00:00:00
443	1656	16	45.48	47.754	2011-08-22 00:00:00	1	5		CTN	2011-08-22 00:00:00
444	1540	17	35.26	37.023	2011-08-12 00:00:00	1	5		CTN	2011-08-12 00:00:00
444	1656	16	41.41	43.4805	2011-08-22 00:00:00	1	5		CTN	2011-08-22 00:00:00
445	1540	17	39.33	41.2965	2011-08-12 00:00:00	1	5		CTN	2011-08-12 00:00:00
445	1656	16	39.41	41.3805	2011-08-28 00:00:00	1	5		CTN	2011-08-28 00:00:00
446	1540	17	35.26	37.023	2011-08-12 00:00:00	1	5		CTN	2011-08-12 00:00:00
446	1656	16	43.48	45.654	2011-08-28 00:00:00	1	5		CTN	2011-08-28 00:00:00
447	1540	17	45.41	47.6805	2011-08-12 00:00:00	1	5		CTN	2011-08-12 00:00:00
447	1656	16	39.41	41.3805	2011-08-28 00:00:00	1	5		CTN	2011-08-28 00:00:00
448	1540	17	43.41	45.5805	2011-08-19 00:00:00	1	5		CTN	2011-08-19 00:00:00
448	1656	16	37.41	39.2805	2011-08-28 00:00:00	1	5		CTN	2011-08-28 00:00:00
449	1540	17	47.48	49.854	2011-08-19 00:00:00	1	5		CTN	2011-08-19 00:00:00
449	1656	16	41.48	43.554	2011-08-28 00:00:00	1	5		CTN	2011-08-28 00:00:00
450	1540	17	43.41	45.5805	2011-08-19 00:00:00	1	5		CTN	2011-08-19 00:00:00
450	1656	16	37.41	39.2805	2011-07-22 00:00:00	1	5		CTN	2011-07-22 00:00:00
451	1540	17	41.41	43.4805	2011-08-19 00:00:00	1	5		CTN	2011-08-19 00:00:00
451	1656	16	35.41	37.1805	2011-07-22 00:00:00	1	5		CTN	2011-07-22 00:00:00
452	1540	17	45.48	47.754	2011-08-19 00:00:00	1	5		CTN	2011-08-19 00:00:00
452	1656	16	39.48	41.454	2011-07-22 00:00:00	1	5		CTN	2011-07-22 00:00:00
453	1540	17	41.41	43.4805	2011-08-19 00:00:00	1	5		CTN	2011-08-19 00:00:00
453	1656	16	35.41	37.1805	2011-07-22 00:00:00	1	5		CTN	2011-07-22 00:00:00
454	1540	17	39.41	41.3805	2011-08-19 00:00:00	1	5		CTN	2011-08-19 00:00:00
454	1656	16	45.26	47.523	2011-07-22 00:00:00	1	5		CTN	2011-07-22 00:00:00
455	1540	17	43.48	45.654	2011-08-19 00:00:00	1	5		CTN	2011-08-19 00:00:00
455	1656	16	43.26	45.423	2011-07-22 00:00:00	1	5		CTN	2011-07-22 00:00:00
456	1540	17	39.41	41.3805	2011-08-19 00:00:00	1	5		CTN	2011-08-19 00:00:00
456	1656	16	47.33	49.6965	2011-07-22 00:00:00	1	5		CTN	2011-07-22 00:00:00
457	1540	17	37.41	39.2805	2011-08-19 00:00:00	1	5		CTN	2011-08-19 00:00:00
457	1656	16	43.26	45.423	2011-07-22 00:00:00	1	5		CTN	2011-07-22 00:00:00
